Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.48     0.00   800001     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.48     0.00   800001     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      0.48     0.00   800001     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.48     0.00   800001     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      0.48     0.00   800001     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      0.48     0.00   800001     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.48     0.00   800000     0.00     0.00  RollingHash::msub(long long, long long)
  0.00      0.48     0.00   800000     0.00     0.00  RollingHash::next(long long, long long, long long)
  0.00      0.48     0.00   799859     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.48     0.00   799855     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.48     0.00   799854     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.48     0.00   799853     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> >::deallocate(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*, unsigned long)
  0.00      0.48     0.00   799853     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> >::destroy<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> >(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   799853     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> >::allocate(unsigned long, void const*)
  0.00      0.48     0.00   799853     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.48     0.00   799853     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false> >::max_size() const
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*, unsigned long) const
  0.00      0.48     0.00   799853     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool> std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<std::pair<int, std::vector<int, std::allocator<int> >*> >(std::integral_constant<bool, true>, std::pair<int, std::vector<int, std::allocator<int> >*>&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_deallocate_node(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   799853     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   799853     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.48     0.00   799853     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool> std::unordered_map<int, std::vector<int, std::allocator<int> >*, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> > >::insert<std::pair<int, std::vector<int, std::allocator<int> >*>, void>(std::pair<int, std::vector<int, std::allocator<int> >*>&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<int const, std::vector<int, std::allocator<int> >*>::pair<int, std::vector<int, std::allocator<int> >*, void>(std::pair<int, std::vector<int, std::allocator<int> >*>&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool>::pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool, void>(std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>&&, bool&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<int, std::vector<int, std::allocator<int> >*>::pair<int&, std::vector<int, std::allocator<int> >*&, void>(int&, std::vector<int, std::allocator<int> >*&)
  0.00      0.48     0.00   799853     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>::_Hash_node<std::pair<int, std::vector<int, std::allocator<int> >*> >(std::pair<int, std::vector<int, std::allocator<int> >*>&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Insert_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_conjure_hashtable()
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract()
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   799853     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool> std::__detail::_Insert<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, false, true>::insert<std::pair<int, std::vector<int, std::allocator<int> >*>, void>(std::pair<int, std::vector<int, std::allocator<int> >*>&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::vector<int, std::allocator<int> >*&& std::forward<std::vector<int, std::allocator<int> >*>(std::remove_reference<std::vector<int, std::allocator<int> >*>::type&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__decay_and_strip<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false> >::__type, std::__decay_and_strip<bool>::__type> std::make_pair<std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>, bool>(std::__detail::_Node_iterator<std::pair<int const, std::vector<int, std::allocator<int> >*>, false, false>&&, bool&&)
  0.00      0.48     0.00   799853     0.00     0.00  std::pair<std::__decay_and_strip<int&>::__type, std::__decay_and_strip<std::vector<int, std::allocator<int> >*&>::__type> std::make_pair<int&, std::vector<int, std::allocator<int> >*&>(int&, std::vector<int, std::allocator<int> >*&)
  0.00      0.48     0.00   236214     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.48     0.00   236214     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*) const
  0.00      0.48     0.00   236214     0.00     0.00  std::__detail::_Equal_helper<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::__detail::_Select1st, std::equal_to<int>, unsigned long, false>::_S_equals(std::equal_to<int> const&, std::__detail::_Select1st const&, int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>*)
  0.00      0.48     0.00   236214     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true> const&)
  0.00      0.48     0.00   100001     0.00     0.00  RollingHash::mpow(long long, long long)
  0.00      0.48     0.00      148     0.00     0.00  areEqual(int*, int*, int)
  0.00      0.48     0.00      148     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.48     0.00      148     0.00     0.00  std::vector<int, std::allocator<int> >::_M_range_check(unsigned long) const
  0.00      0.48     0.00      148     0.00     0.00  std::unordered_map<int, std::vector<int, std::allocator<int> >*, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> > >::at(int const&)
  0.00      0.48     0.00      148     0.00     0.00  std::vector<int, std::allocator<int> >::at(unsigned long)
